1.5,-19.5,-18.0,-6.0,0.7023018101969832,0.46046872744066536
1.5,-20.0,-17.5,-13.5,0.7077935951610103,0.4500545272780687
1.5,-39.0,-17.5,-13.5,0.8239723170990984,0.5171303436631306
1.5,-39.0,-30.5,-13.5,-0.004023366046353634,0.9951738742150054
1.5,-39.5,-31.5,-12.5,-0.21536764555733198,1.1356297700755305
1.5,-36.5,-30.5,-11.5,-0.055518274013028744,0.9687781127676267
1.5,-39.0,-30.5,-11.5,-0.004023366046353634,0.9985087117440816
1.5,-37.5,-32.5,-12.0,-0.5482281083713407,1.2723306837072255
1.5,-40.5,-33.5,-11.5,-0.8230377877639077,1.527415098691013
1.5,-40.5,-33.5,-12.0,-0.8230377877639077,1.526719396080877
1.5,-40.0,-35.5,-12.0,-1.858379620304734,2.1036042249198066
1.5,-41.5,-36.0,-12.5,-2.1336168917091807,2.3322924372884914
1.5,-40.5,-34.5,-12.0,-1.273370422826343,1.7867190641590474
1.5,-40.5,-34.0,-12.0,-1.035256788097989,1.6492440930509122
